,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
119,tt0112471,movie,Before Sunrise,Before Sunrise,0,1995,\N,101,"Drama,Romance"
120,tt0381681,movie,Before Sunset,Before Sunset,0,2004,\N,80,"Drama,Romance"
121,tt1291580,movie,Behind The Candelabra,Behind the Candelabra,0,2013,\N,118,"Biography,Drama,Music"
122,tt0120601,movie,Being John Malkovich,Being John Malkovich,0,1999,\N,113,"Comedy,Drama,Fantasy"
123,tt0078841,movie,Being There,Being There,0,1979,\N,130,"Comedy,Drama"
124,tt2356180,movie,Bhaag Milkha Bhaag,Bhaag Milkha Bhaag,0,2013,\N,186,"Biography,Drama,Sport"
125,tt0319061,movie,Big Fish,Big Fish,0,2003,\N,125,"Adventure,Drama,Fantasy"
126,tt2245084,movie,Big Hero 6,Big Hero 6,0,2014,\N,102,"Action,Adventure,Animation"
127,tt0096928,movie,Bill & Ted's Excellent Adventure,Bill & Ted's Excellent Adventure,0,1989,\N,90,"Adventure,Comedy,Music"
128,tt0249462,movie,Billy Elliot,Billy Elliot,0,2000,\N,110,"Drama,Music"
129,tt1164999,movie,Biutiful,Biutiful,0,2010,\N,148,"Drama,Romance"
130,tt0375611,movie,Black,Black,0,2005,\N,122,Drama
131,tt0389557,movie,Black Book,Zwartboek,0,2006,\N,145,"Drama,Thriller,War"
132,tt0265086,movie,Black Hawk Down,Black Hawk Down,0,2001,\N,144,"Drama,History,War"
133,tt1825683,movie,Black Panther,Black Panther,0,2018,\N,134,"Action,Adventure,Sci-Fi"
134,tt0462200,movie,Black Snake Moan,Black Snake Moan,0,2006,\N,116,"Drama,Music"
135,tt0947798,movie,Black Swan,Black Swan,0,2010,\N,108,"Drama,Thriller"
136,tt0120611,movie,Blade,Blade,0,1998,\N,120,"Action,Horror,Sci-Fi"
137,tt0083658,movie,Blade Runner,Blade Runner,0,1982,\N,117,"Action,Sci-Fi,Thriller"
138,tt1856101,movie,Blade Runner 2049,Blade Runner 2049,0,2017,\N,164,"Action,Drama,Mystery"
